episode,wave,rewards,equity,actor_loss,critic_loss,lr,v_viol,line_ovld,power_loss,shock_pct,steps_survived,g_V,g_T,g_G,g_C,lambda_V,lambda_T,lambda_G,lambda_C,max_v_dev,n_violations,max_loading
15,1,281.73646515180315,99.3682098865509,-0.07330414652824402,0.5670444369316101,0.0001,11.84375,0.0,0.0,0.0,160,0.024529051035642624,0.00016481560305692255,0.1356581747531891,0.27662524580955505,9.742437100970857e-05,6.125497418710052e-07,0.0005329783790858207,0.0014815922213189511,0.5905749995261431,11.84375,0.9307896543294192
16,1,213.02419965146305,99.1665852444231,-0.06873761862516403,0.45340174436569214,0.0001,14.84297520661157,0.0,0.0,0.0,121,0.02849055640399456,0.0003004113386850804,0.13569839298725128,0.25781726837158203,9.742437100970859e-05,6.125497418710052e-07,0.0005329783790858208,0.0014815922213189507,0.5914049582047896,14.84297520661157,0.936966669953559
17,1,103.2522585332188,98.37762525004726,-0.06873761862516403,0.45340174436569214,0.0001,18.274193548387096,0.0,0.0,0.0,62,0.03580985963344574,0.0007826741202734411,0.1348130851984024,0.3246271014213562,0.0001212935236459161,7.221737431276149e-07,0.0006643857050760148,0.0017863220791463454,0.5946451608211764,18.274193548387096,0.9363648141584089
18,1,138.30314986981446,98.85607814788818,-0.06873761862516403,0.45340174436569214,0.0001,12.420454545454545,0.0,0.0,0.0,88,0.02783099375665188,0.00010537393245613202,0.1374383568763733,0.3939441740512848,0.00012129352364591608,7.221737431276147e-07,0.0006643857050760148,0.0017863220791463454,0.5958417762409557,12.420454545454545,0.8541680073196237
19,1,374.56245742039073,99.5545048964651,-0.06873761862516403,0.45340174436569214,0.0001,11.671052631578947,0.0,0.0,0.0,228,0.023523904383182526,6.734418275300413e-05,0.13501016795635223,0.365322083234787,0.00012129352364591608,7.221737431276147e-07,0.0006643857050760148,0.0017863220791463452,0.6000666074585497,11.671052631578947,0.8554792550572178
20,1,230.1418272220083,99.25235177499276,0.1427016258239746,0.8592281937599182,0.0001,14.170370370370371,0.0,0.0,0.0,135,0.027657391503453255,0.00025843054754659534,0.1354723870754242,0.3192789852619171,0.00012129352364591608,7.221737431276148e-07,0.0006643857050760148,0.0017863220791463452,0.5910518513785468,14.170370370370371,0.8908823075117889
21,1,24.357561453335183,94.10879247328815,0.1427016258239746,0.8592281937599182,0.0001,17.647058823529413,0.0,0.0,0.0,17,0.05408073216676712,0.0005830034497193992,0.13359688222408295,0.3734223544597626,0.00014737459944356933,9.389861502729892e-07,0.0007958470627297159,0.002127369257035256,0.6122352936688591,17.647058823529413,0.898843386593987
22,1,58.061589156647024,97.13270590645926,0.1427016258239746,0.8592281937599182,0.0001,14.571428571428571,0.0,0.0,0.0,35,0.03759714588522911,9.061554737854749e-05,0.13548630475997925,0.30712002515792847,0.0001473745994435693,9.389861502729893e-07,0.0007958470627297159,0.002127369257035256,0.6073075549943107,14.571428571428571,0.872209916796003
23,1,164.83938375332414,99.04951599408996,0.1427016258239746,0.8592281937599182,0.0001,12.50943396226415,0.0,0.0,0.0,106,0.02687123976647854,0.00041431639692746103,0.13586027920246124,0.4034439027309418,0.0001473745994435693,9.389861502729894e-07,0.0007958470627297159,0.002127369257035255,0.6258778600197918,12.50943396226415,0.8538698649631357
24,1,817.1987937958371,99.794063166169,-0.03203622251749039,0.7230908870697021,0.0001,11.21868787276342,0.0,0.0,0.0,503,0.02204868011176586,1.6310184946632944e-05,0.13595052063465118,0.37813660502433777,0.00014737459944356936,9.389861502729895e-07,0.0007958470627297159,0.0021273692570352555,0.5888190850111884,11.21868787276342,0.8364332948716924
