Name,English Name,Operator,Output,Source,Method,Wikidata,Output_MW
المحطة الشمسية الحرارية بالكريمات,El Kureimat power plant,,140 MW,gas;solar,thermal,Q56360137,140.0
Esna Power Plant,,,86 MW,hydro,run-of-the-river,Q56358273,86.0
محطة كهرباء بورسعيد الغازية,Port Said Power Station,East Delta Electricity Production Company,84 MW,gas,combustion,,84.0
Naga Hammadi power plant,,,64 MW,hydro,run-of-the-river,Q1682687,64.0
محطة مطروح البخارية,Matrouh Power Plant,West Delta Electricity Production Company,60 MW,gas,combustion,Q117090064,60.0
محطة كهرباء المساعيد الغازية,Al-Masaeed Power Station,East Delta Electricity Production Company,48.40 MW,oil,combustion,,48.4
Zafarana Solar Power Station,Zafarana Solar Power Station,,43.00 MW,solar,photovoltaic,,43.0
Sukari Gold Mine Solar Plant,,,36.00 MW,solar,photovoltaic,,36.0
سد أسيوط الجديد,New Asyut Barrage,Ministry of Irrigation,32.00 MW,hydro,run-of-the-river,Q4809094,32.0
محطة الخلايا الفوتو فلطية بكوم امبو,Kom Ombo Solar Power Station,,26.00 MW,solar,photovoltaic,,26.0
محطة توشكي للطاقة الشمسية,Toshka solar farm,Complete Energy Solutions,20.00 MW,solar,photovoltaic,,20.0
محطة سيوه للطاقة الشمسية,Siwa Solar PV Plant,Al Behira Electrical Distribution Company,10.00 MW,solar,photovoltaic,,10.0
"محطة نبق ""جلوبال"" للطاقة الشمسية","Nabq ""Global"" solar farm phase 2",,10.00 MW,solar,photovoltaic,,10.0
"محطة نبق ""جلوبال"" للطاقة الشمسية","Nabq ""Global"" solar farm phase 1",,10.00 MW,solar,photovoltaic,,10.0
Marsa Alam Solar Power Station,Marsa Alam Solar Power Station,,6.00 MW,solar,photovoltaic,,6.0
Damietta LNG Terminal Power Station,,,,,,,0.0
EL-AMERYA FTZ,,,,,,,0.0
El Ameriya Refinery Power Plant,,,,,,,0.0
